,0,,Responsable,,Aprobador,,Soporte 1,,Soporte 2,,Soporte 3,,Soporte 4,,Soporte 5,,Soporte 6,,Soporte 7,,Soporte 8,,Soporte 9,,Soporte 10,,Soporte 11,,Consultado 1,,Consultado 2,,Consultado 3,,Consultado 4,,Informado 1,,Informado 2,,Informado 3,,Informado 4,,Informado 5,
N,ID_Accion,URY,Lider_Estrategico,Lider_Ejecutivo,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor,Dependencia,Actor
1,DAC-1,20992,DAC,TICE,DPAC,PCI,DAC,EPRE,DAC,EPYFC,DAC,BRA,DAC,SA,DPAC,TGI,,,DAF,FIN,DAF,DP,DPAC,PCI,DAF,ADQ,,,TODOS,GA,DPAC,AC,DPAC,AI,,,TODOS,ESTR,TODOS,TAC,TODOS,COL,TODOS,GA,TODOS,OP
2,DAC-2,20991RED,DAC,DAC,DPAC,PCI,DAC,EPRE,DAC,EPYFC,,,,,,,,,DAF,DP,DAF,FIN,DPAC,PCI,DAF,ADQ,,,DPAC,AC,DPAC,AI,,,,,TODOS,ESTR,TODOS,TAC,TODOS,COL,TODOS,GA,TODOS,OP
3,DAC-3,20992RED,DAC,EPRE,DPAC,PCI,DAC,EPRE,DAC,EPYFC,,,,,,,,,DAF,DP,DAF,FIN,DPAC,PCI,DAF,ADQ,,,DPAC,AC,DPAC,AI,TODOS,GA,,,TODOS,ESTR,TODOS,TAC,TODOS,COL,TODOS,GA,TODOS,OP
4,DAC-4,2177,DAC,EPRE,DPAC,PCI,DAC,EPRE,DAC,DE,DAC,SA,DAC,BRA,DVCM,COM,DVCM,TE,DAF,DP,DAF,FIN,DPAC,PCI,DAF,ADQ,DPAC,TGI,REC,REC,TODOS,GA,DPAC,AC,DPAC,AI,TODOS,ESTR,TODOS,TAC,TODOS,COL,TODOS,GA,TODOS,OP
5,DAC-5,2277,DAC,EPRE,DPAC,PCI,DAC,EPRE,DAC,DE,DAC,SA,DAC,BRA,DVCM,COM,DVCM,TE,DAF,DP,DAF,FIN,DPAC,PCI,DAF,ADQ,DPAC,TGI,REC,REC,TODOS,GA,DPAC,AC,DPAC,AI,TODOS,ESTR,TODOS,TAC,TODOS,COL,TODOS,GA,TODOS,OP
6,DCS-1,21993RED,DCS,DCS,DPAC,PCI,DAC,DAC,DVCM,DVCM,DCS,TGI,,,,,,,DAF,DP,DAF,FIN,DPAC,PCI,DAF,ADQ,,,TODOS,GA,DPAC,AC,DPAC,AI,,,TODOS,ESTR,TODOS,TAC,TODOS,COL,TODOS,GA,TODOS,OP
7,DI-1,2093,DI,DDC,DPAC,PCI,DI,DDC,DVCM,EXT,DVCM,COM,DPAC,TGI,,,,,DAF,DP,DAF,FIN,DPAC,PCI,DAF,ADQ,,,REC,REC,TODOS ,GA,DPAC,AC,DPAC,AI,TODOS,ESTR,TODOS,TAC,TODOS,COL,TODOS,GA,TODOS,OP
8,DI-2,2195,DI,DINV,DPAC,PCI,DPAC,PCI,DAC,EPRE,DVCM,TE,DI,INV,DAC,EPYFC,DPAC,TGI,DAF,DP,DAF,FIN,DPAC,PCI,DAF,ADQ,DPAC,AC,REC,REC,TODOS,GA,TODOS,ESTR,DPAC,AI,TODOS,ESTR,TODOS,TAC,TODOS,COL,TODOS,GA,TODOS,OP
9,DI-3,20102,DI,DCNT,DPAC,PCI,DVCM,TE,DVCM,COM,DPAC,TGI,DPAC,PCI,DI,DDC,DCNT,DCNT,DAF,DP,DAF,FIN,DPAC,PCI,DAF,ADQ,,,TODOS,GA,,,,,DPAC,AI,TODOS,ESTR,TODOS,TAC,TODOS,COL,TODOS,GA,TODOS,OP
10,DI-4,21991,DI,DI,DPAC,PCI,DAC,DA,DAC,EPYFC,DI,DINV,DI,ITT,TODOS,GA,DPAC,AC,DAF,DP,DAF,FIN,DPAC,PCI,DAF,ADQ,DPAC,INSG,DAC,EPRE,REC,REC,TODOS,ESTR,DPAC,AI,TODOS,ESTR,TODOS,TAC,TODOS,COL,TODOS,GA,TODOS,OP
11,DPAC-1,1856,DPAC,DPAC,DPAC,PCI,DPAC,AC,DAC,EPRE,DAC,EPYFC,DVCM,EXT,REC,EG,REC,RI,DAF,DP,DAF,FIN,DPAC,PCI,DAF,ADQ,DI,DI,REC,REC,TODOS,ESTR,TODOS,GA,DPAC,AI,TODOS,ESTR,TODOS,TAC,TODOS,COL,TODOS,GA,TODOS,OP
12,DPAC-2,1999,DPAC,DPAC,DPAC,PCI,DAC,EPRE,DAC,EPYFC,DI,DI,DPAC,TGI,DPAC,AC,,,DAF,DP,DAF,FIN,DPAC,PCI,DAF,ADQ,,,REC,REC,TODOS,ESTR,TODOS,GA,DPAC,AI,TODOS,ESTR,TODOS,TAC,TODOS,COL,TODOS,GA,TODOS,OP
13,DPAC-3,20991,DPAC,DAC,DPAC,PCI,DPAC,AC,DVCM,DVCM,DAC,EPRE,DAC,EPYFC,TODOS,ESTR,DPAC,TGI,DAF,DP,DAF,FIN,DPAC,PCI,DAF,ADQ,DI,DI,REC,REC,TODOS,COL,TODOS,GA,DPAC,AI,TODOS,ESTR,TODOS,TAC,TODOS,COL,TODOS,GA,TODOS,OP
14,DPAC-4,20993RED,DPAC,AI,DPAC,PCI,DPAC,AC,DPAC,AI,DPAC,TGI,,,,,,,DAF,DP,DAF,FIN,DPAC,PCI,DAF,ADQ,,,TODOS,GA,,,,,,,TODOS,ESTR,TODOS,TAC,TODOS,COL,TODOS,GA,TODOS,OP
